x,z,yaw,pitch,roll
-0.07,0,-148.98,0,0.77
0.82,0,-149.15,0,0.9
0.2,0,-149.41,0,-0.76
0.94,0,-149.72,0,-0.45
-0.32,0,-150.53,0,-0.83
0,0,-150.79,0,-1.13
-0.4,0,-150.72,0,-1.58
-0.62,0,-150.94,0,-2.03
0,0,-151.28,0,-2.91
-0.22,0,-151.44,0,-3.4
0.09,0,-151.32,0,-3.56
-0.85,0,-151.33,0,-4.84
-0.18,0,-151.27,0,-4.56
0.1,0,-151.13,0,-5.08
-0.1,0,-151.06,0,-4.52
0,0,-151.14,0,-6.57
-0.41,0,-151.17,0,-6.14
0,0,-151.14,0,-5.47
-0.16,0,-151.21,0,-5.42
0.19,0,-151.11,0,-5.38
0.27,0,-151.31,0,-6.4
-0.06,0,-151.26,0,-7.91
-0.11,0,-151.27,0,-8.88
0.12,0,-151.22,0,-10.56
0.25,0,-151.19,0,-9.65
-0.27,0,-151.22,0,-7.23
-0.49,0,-150.96,0,-6.83
0.31,0,-151.11,0,-7.54
0.06,0,-151.23,0,-5.76
-0.15,0,-151.13,0,-4.49
0.13,0,-151.06,0,-6.48
0,0,-151.09,0,-6.7
-0.05,0,-151.06,0,-6.33
-0.17,0,-151.08,0,-4.95
-0.19,0,-151.02,0,-9.84
-0.19,0,-151.02,0,-9.51
-0.21,0,-150.83,0,-8.84
0.07,0,-150.64,0,-8.58
-0.5,0,-150.48,0,-7.6
-0.31,0,-150.23,0,-6.87
-0.35,0,-150.03,0,-5.66
-0.32,0,-149.9,0,-5.34
-0.21,0,-149.67,0,-4.25
-0.18,0,-149.55,0,-4.54
-0.18,0,-149.32,0,-4.04
-0.13,0,-149.2,0,-3.98
0,0,-149.01,0,-3.83
0.05,0,-148.75,0,-3.27
0,0,-148.6,0,-3.31
-0.15,0,-148.36,0,-2.7
0,0,-148.34,0,-3.3
0.05,0,-148.22,0,-2.82
0.14,0,-148.08,0,-2.14
0.18,0,-148.02,0,-1.67
0.07,0,-147.94,0,-1.21
-0.15,0,-147.87,0,-0.62
-0.22,0,-147.85,0,-0.17
-0.27,0,-147.82,0,0.36
-0.4,0,-147.86,0,0.16
-0.35,0,-147.82,0,0.32
-0.21,0,-147.91,0,-0.29
0,0,-147.98,0,-0.9
